,score
ATP2B1-AS1,2.159429024218099
AC005332.1,2.158733860039078
TTC39B,2.1585351671037785
NR4A3,2.15830161804908
KHDC4,2.157924597551613
PARP2,2.1576610226262716
ADAMTS1,2.1572949680989524
AL161756.1,2.1571577629248395
CCBE1,2.157127475959669
AC137767.1,2.157066118745746
AL121944.1,2.1567323093925523
AC044849.1,2.156521083919941
AC087623.3,2.1564639042184552
NGFR,2.1562270914821653
NEDD1,2.1558281390444023
IGFLR1,2.155762604318042
CCDC171,2.155723570686206
CCDC125,2.1553126079001856
ZSCAN16,2.1551981179499506
LINC01358,2.155163522925079
HIST4H4,2.1551396327758283
KLHL17,2.1550863694922526
SREK1IP1,2.154877102228596
CLCN5,2.1542678381490674
APOBEC3F,2.154065620437649
ABHD4,2.153904916756076
TEK,2.1537302445172912
PEAK1,2.153664709790931
PDIK1L,2.1536110548655643
AL691432.2,2.153313798746197
MVD,2.1533053131740587
HIC2,2.153095001532293
KCTD10,2.153021503422849
LRRC37B,2.1526931770547293
TTN,2.1526160236219027
FANCI,2.152593961134343
